"relative_path","top","category","extension","bytes","lines","last_write_utc"
"mcps/filesystem/tools/list_directory_with_sizes.json","mcps","mcp-tool-schemas",".json","800","25","2026-06-20T11:14:36.4326859Z"
"mcps/filesystem/tools/list_directory.json","mcps","mcp-tool-schemas",".json","577","16","2026-06-20T11:14:36.4296891Z"
"mcps/filesystem/tools/move_file.json","mcps","mcp-tool-schemas",".json","670","20","2026-06-20T11:14:36.4346863Z"
"mcps/filesystem/tools/read_file.json","mcps","mcp-tool-schemas",".json","611","24","2026-06-20T11:14:36.4376932Z"
"mcps/filesystem/tools/read_media_file.json","mcps","mcp-tool-schemas",".json","383","16","2026-06-20T11:14:36.4406946Z"
"mcps/filesystem/tools/read_multiple_files.json","mcps","mcp-tool-schemas",".json","813","21","2026-06-20T11:14:36.4427900Z"
"mcps/filesystem/tools/read_text_file.json","mcps","mcp-tool-schemas",".json","988","24","2026-06-20T11:14:36.4457924Z"
"mcps/filesystem/tools/search_files.json","mcps","mcp-tool-schemas",".json","900","27","2026-06-20T11:14:36.4479194Z"
"mcps/filesystem/tools/write_file.json","mcps","mcp-tool-schemas",".json","562","20","2026-06-20T11:14:36.4502039Z"
"mcps/firecrawl/tools/firecrawl_agent_status.json","mcps","mcp-tool-schemas",".json","1216","17","2026-06-20T11:14:36.4569279Z"
"mcps/firecrawl/tools/firecrawl_agent.json","mcps","mcp-tool-schemas",".json","3933","33","2026-06-20T11:14:36.4542289Z"
"mcps/firecrawl/tools/firecrawl_check_crawl_status.json","mcps","mcp-tool-schemas",".json","606","17","2026-06-20T11:14:36.4599829Z"
"mcps/firecrawl/tools/firecrawl_crawl.json","mcps","mcp-tool-schemas",".json","8985","322","2026-06-20T11:14:36.4625579Z"
"mcps/firecrawl/tools/firecrawl_extract.json","mcps","mcp-tool-schemas",".json","2283","39","2026-06-20T11:14:36.4645610Z"
"mcps/firecrawl/tools/firecrawl_feedback.json","mcps","mcp-tool-schemas",".json","4188","129","2026-06-20T11:14:36.4660643Z"
"mcps/firecrawl/tools/firecrawl_interact_stop.json","mcps","mcp-tool-schemas",".json","615","17","2026-06-20T11:14:36.4715716Z"
"mcps/firecrawl/tools/firecrawl_interact.json","mcps","mcp-tool-schemas",".json","2140","36","2026-06-20T11:14:36.4695715Z"
"mcps/firecrawl/tools/firecrawl_map.json","mcps","mcp-tool-schemas",".json","2207","38","2026-06-20T11:14:36.4738100Z"
"mcps/firecrawl/tools/firecrawl_monitor_check.json","mcps","mcp-tool-schemas",".json","3544","41","2026-06-20T11:14:36.4773357Z"
"mcps/firecrawl/tools/firecrawl_monitor_checks.json","mcps","mcp-tool-schemas",".json","966","38","2026-06-20T11:14:36.4798048Z"
"mcps/firecrawl/tools/firecrawl_monitor_create.json","mcps","mcp-tool-schemas",".json","6000","48","2026-06-20T11:14:36.4818336Z"
"mcps/firecrawl/tools/firecrawl_monitor_delete.json","mcps","mcp-tool-schemas",".json","515","17","2026-06-20T11:14:36.4857309Z"
"mcps/firecrawl/tools/firecrawl_monitor_get.json","mcps","mcp-tool-schemas",".json","462","17","2026-06-20T11:14:36.4872584Z"
